Date,u,v
12/01/2018 3:30,0.0279352,0.0117612
12/01/2018 4:00,0.0214299,0.0052449
12/01/2018 4:30,0.00946733,0.0103999
12/01/2018 5:00,0.0153836,0.00364604
12/01/2018 5:30,0.0079367,-0.00177624
12/01/2018 6:00,0.0103927,-0.00211998
12/01/2018 6:30,0.0171677,0.0234322
12/01/2018 7:00,0.0127753,0.000367086
12/01/2018 7:30,0.0105395,0.0104301
12/01/2018 8:00,0.0116638,0.00953611
12/01/2018 8:30,-0.0329845,-0.042744
12/01/2018 9:00,-0.0183738,-0.0242092
12/01/2018 9:30,-0.0674087,-0.107167
12/01/2018 10:00,-0.0812521,-0.128994
12/01/2018 10:30,-0.0947387,-0.152386
12/01/2018 11:00,-0.139619,-0.230602
12/01/2018 11:30,-0.15437,-0.257055
12/01/2018 12:00,-0.203715,-0.343859
12/01/2018 12:30,-0.206018,-0.348286
12/01/2018 13:00,-0.257733,-0.439521
12/01/2018 13:30,-0.236225,-0.401839
12/01/2018 14:00,-0.246056,-0.419108
12/01/2018 14:30,-0.204048,-0.345122
12/01/2018 15:00,-0.156106,-0.261528
12/01/2018 15:30,-0.0139574,-0.0213376
12/01/2018 16:00,0.1315,0.219532
12/01/2018 16:30,0.127174,0.218558
12/01/2018 17:00,0.193187,0.343385
12/01/2018 17:30,0.168453,0.298576
12/01/2018 18:00,0.223958,0.414128
12/01/2018 18:30,0.19884,0.363878
12/01/2018 19:00,0.236552,0.459231
12/01/2018 19:30,0.215081,0.415248
12/01/2018 20:00,0.229767,0.480781
12/01/2018 20:30,0.214455,0.4154
12/01/2018 21:00,0.213463,0.410843
12/01/2018 21:30,0.137356,0.279068
12/01/2018 22:00,0.114268,0.25713
12/01/2018 22:30,0.0910066,0.254679
12/01/2018 23:00,0.0654978,0.177459
12/01/2018 23:30,0.111832,0.210054
13/01/2018 0:00,0.0458555,0.0902546
13/01/2018 0:30,0.049955,0.0939736
13/01/2018 1:00,0.0535153,0.0760497
13/01/2018 1:30,0.0493357,0.0514729
13/01/2018 2:00,0.0751208,0.0592919
13/01/2018 2:30,0.0651701,0.0516063
13/01/2018 3:00,0.0319461,0.0374628
13/01/2018 3:30,0.0273091,0.0378925
13/01/2018 4:00,0.0147499,0.0211628
13/01/2018 4:30,0.00531856,0.0100748
13/01/2018 5:00,0.0144282,0.0214082
13/01/2018 5:30,0.00649927,0.00992373
13/01/2018 6:00,0.0287376,0.0308916
13/01/2018 6:30,-0.0341245,-0.0491121
13/01/2018 7:00,0.0208321,0.0293301
13/01/2018 7:30,-0.0423481,-0.0623603
13/01/2018 8:00,-0.0119636,-0.0192029
13/01/2018 8:30,-0.0743235,-0.11694
13/01/2018 9:00,-0.0379189,-0.0548653
13/01/2018 9:30,-0.0761116,-0.12054
13/01/2018 10:00,-0.0701714,-0.110938
13/01/2018 10:30,-0.0829415,-0.132842
13/01/2018 11:00,-0.118723,-0.194565
13/01/2018 11:30,-0.137652,-0.227922
